DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,CANABRAVA DO NORTE,Amazônia,,,,-11.18367,-52.01577,2.0
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,CANARANA,Cerrado,,,,-13.52424,-52.27553,5.3
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,RIBEIRÃO CASCALHEIRA,Amazônia,,,,-13.1696,-51.87931,2.5
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,CANARANA,Amazônia,,,,-12.87923,-52.50717,2.9
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,CANARANA,Amazônia,,,,-12.87352,-52.51672,1.8
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,,,,-12.36815,-52.47545,1.7
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.71727,-52.66316,3.6
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.71642,-52.66812,1.2
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.71603,-52.65522,5.6
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.71515,-52.66014,5.6
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.71427,-52.65752,3.6
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.71426,-52.66507,2.8
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.71341,-52.66246,3.6
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.71337,-52.67002,2.8
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.71255,-52.66742,1.2
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.71127,-52.65187,1.3
